                                                      Productions          |   lt                                                                      |   program                                                                 |   float                                                                   |   put                                                                     |   EPSILON                                                                 |   else                                                                    |   leq                                                                     |   id                                                                      |   neq                                                                     |   if                                                                      |   (                                                                       |   )                                                                       |   *                                                                       |   then                                                                    |   +                                                                       |   ,                                                                       |   eq                                                                      |   -                                                                       |   .                                                                       |   /                                                                       |   :                                                                       |   ;                                                                       |   =                                                                       |   floatNum                                                                |   for                                                                     |   not                                                                     |   geq                                                                     |   and                                                                     |   get                                                                     |   [                                                                       |   class                                                                   |   ]                                                                       |   sr                                                                      |   or                                                                      |   intNum                                                                  |   gt                                                                      |   int                                                                     |   {                                                                       |   }                                                                       |   return                                                                  |
                                                     functionCall          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   functionCall => [(, aParams, )]                                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                         funcBody          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcBody => [{, varDeclRepeat, }]                                       |                                                                           |                                                                           |

                                                          funcDef          |                                                                           |                                                                           |   funcDef => [funcHead, funcBody, ;]                                      |                                                                           |                                                                           |                                                                           |                                                                           |   funcDef => [funcHead, funcBody, ;]                                      |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDef => [funcHead, funcBody, ;]                                      |                                                                           |                                                                           |                                                                           |

                                                      aParamsTail          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParamsTail => [,, expr]                                                |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                             funcHeadOptionFactor          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcHeadOptionFactor => [id, funcHeadOption]                            |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

